origin_name,verify_name,url
CV-20/本宁顿号,<em>本宁顿号</em>,https://baike.baidu.com/item/%E6%9C%AC%E5%AE%81%E9%A1%BF%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1439617
桑加蒙级/Sangamon 航空母舰,<em>桑加蒙级</em>,https://baike.baidu.com/item/%E6%A1%91%E5%8A%A0%E8%92%99%E7%BA%A7%E6%8A%A4%E8%88%AA%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/6282077
博格级护航航空母舰,博格级护航航空母舰,https://baike.baidu.com/item/%E5%8D%9A%E6%A0%BC%E7%BA%A7%E6%8A%A4%E8%88%AA%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
射手级航母/ARCHER ,射手级航母/ARCHER ,https://baike.baidu.com/item/%E5%B0%84%E6%89%8B%E7%BA%A7%E8%88%AA%E6%AF%8D/ARCHER%20
科芒斯曼特湾/Commencementbay 航空母舰,<em>科芒斯曼特湾</em>,/item/%E7%A7%91%E8%8A%92%E6%96%AF%E6%9B%BC%E7%89%B9%E6%B9%BE%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
福莱斯特级/Forrestal 航空母舰,<em>福莱斯特级航空母舰</em>,https://baike.baidu.com/item/%E7%A6%8F%E8%8E%B1%E6%96%AF%E7%89%B9%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/9805818
统治者级/Ruler 航空母舰,<em>统治者级</em>,https://baike.baidu.com/item/%E7%BB%9F%E6%B2%BB%E8%80%85%E7%BA%A7%E6%8A%A4%E8%88%AA%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/6281692
CV-59/福莱斯特号 航空母舰,<em>福莱斯特级航空母舰</em>,https://baike.baidu.com/item/%E7%A6%8F%E8%8E%B1%E6%96%AF%E7%89%B9%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/9805818
CVB-41中途岛/Midway 航空母舰,<em>中途岛</em>,https://baike.baidu.com/item/%E4%B8%AD%E9%80%94%E5%B2%9B%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3214032
卡萨布兰卡级/Casablanca 航空母舰,<em>卡萨布兰卡级</em>,https://baike.baidu.com/item/%E5%8D%A1%E8%90%A8%E5%B8%83%E5%85%B0%E5%8D%A1%E7%BA%A7%E6%8A%A4%E8%88%AA%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/10860628
CV-63/小鹰号 航空母舰,<em>小鹰号航空母舰</em>,https://baike.baidu.com/item/%E5%B0%8F%E9%B9%B0%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3793297
CVN-69/艾森豪威尔号/Eisenhower  航空母舰,<em>艾森豪威尔号航空母舰</em>,https://baike.baidu.com/item/%E8%89%BE%E6%A3%AE%E8%B1%AA%E5%A8%81%E5%B0%94%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3749824
CVN-71/罗斯福号 航空母舰,<em>罗斯福号航空母舰</em>,https://baike.baidu.com/item/%E7%BD%97%E6%96%AF%E7%A6%8F%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3751671
CVN-70/卡尔.文森号/Carl Vinson 航空母舰,<em>卡尔</em>,https://baike.baidu.com/item/%E5%8D%A1%E5%B0%94%C2%B7%E6%96%87%E6%A3%AE%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/6095862
CVB-43/珊瑚海/Coral Sea 航空母舰,<em>珊瑚海</em>,https://baike.baidu.com/item/%E7%8F%8A%E7%91%9A%E6%B5%B7%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/2953141
CVN-72/林肯号/Lincoln 航空母舰,亚伯拉罕·,https://baike.baidu.com/item/%E4%BA%9A%E4%BC%AF%E6%8B%89%E7%BD%95%C2%B7%E6%9E%97%E8%82%AF%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/4689504
CV-64/星座号 航空母舰,<em>CV64星座号</em>,https://baike.baidu.com/item/CV64%E6%98%9F%E5%BA%A7%E5%8F%B7/889091
CVN-75/杜鲁门号/Truman 航空母舰,<em>杜鲁门号航空母舰</em>,https://baike.baidu.com/item/%E6%9D%9C%E9%B2%81%E9%97%A8%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3749352
CVN-68/尼米兹号 航空母舰,<em>尼米兹号航空母舰</em>,https://baike.baidu.com/item/%E5%B0%BC%E7%B1%B3%E5%85%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3501097
