origin_name,verify_name,('_name' 5),url
歼-11BS战斗机 ,歼-11BS战斗机 ,('歼-11BS战斗机 ' 10),https://baike.baidu.com/item/%E6%AD%BC-11BS%E6%88%98%E6%96%97%E6%9C%BA%20
歼-9战斗机,歼-9战斗机,('歼-9战斗机' 6),https://baike.baidu.com/item/%E6%AD%BC-9%E6%88%98%E6%96%97%E6%9C%BA
FW-190“百舌鸟”战斗机,FW-190战斗机,('FW-190' 6),https://baike.baidu.com/item/FW-190%E6%88%98%E6%96%97%E6%9C%BA/10169661
米格-25战斗机,米格-25战斗机,('米格-25战斗机' 8),https://baike.baidu.com/item/%E7%B1%B3%E6%A0%BC-25%E6%88%98%E6%96%97%E6%9C%BA
歼-11B战斗机 ,歼-11B战斗机 ,('歼-11B战斗机 ' 9),https://baike.baidu.com/item/%E6%AD%BC-11B%E6%88%98%E6%96%97%E6%9C%BA%20
ME-109战斗机,ME-109战斗机,('ME-109战斗机' 9),https://baike.baidu.com/item/ME-109%E6%88%98%E6%96%97%E6%9C%BA
苏-25改进型/苏-25TM/苏-39,苏-39,('苏-39' 4),https://baike.baidu.com/item/%E8%8B%8F-39%E6%94%BB%E5%87%BB%E6%9C%BA/4928064
T-50战斗机,T-50战斗机,('T-50战斗机' 7),https://baike.baidu.com/item/T-50%E6%88%98%E6%96%97%E6%9C%BA
J2M雷电局地战斗机,j2m雷电,('雷电' 2),/item/j2m%E9%9B%B7%E7%94%B5
A6M2-N/二式水上战斗机,<em>A6M2-N/二式水上战斗机</em>,('A6M2-N/二式水上战斗机' 14),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=A6M2-N%2F%E4%BA%8C%E5%BC%8F%E6%B0%B4%E4%B8%8A%E6%88%98%E6%96%97%E6%9C%BA
XF-88战斗机,XF-88战斗机,('XF-88战斗机' 8),https://baike.baidu.com/item/XF-88%E6%88%98%E6%96%97%E6%9C%BA
Hs 124战斗机,Hs124战斗机,('124战斗机' 6),https://baike.baidu.com/item/Hs124%E6%88%98%E6%96%97%E6%9C%BA/5633010
J6K1 阵风 陆上战斗机,j6k1阵风,('阵风' 2),/item/j6k1%E9%98%B5%E9%A3%8E
Ki-45屠龙/2式复座战斗机 ,<em>Ki-45</em>,('Ki-45' 5),/item/%E5%B7%9D%E5%B4%8EKi-45%E6%94%B9%E5%B1%A0%E9%BE%99%E4%BA%8C%E5%BC%8F%E5%A4%8D%E5%BA%A7%E6%88%98%E6%96%97%E6%9C%BA
Ar 68战斗机,Ar,('Ar' 2),https://baike.baidu.com/item/Ar.68%E6%88%98%E6%96%97%E6%9C%BA/2510305
A2N/90式舰上战斗机,A2N/90式舰上战斗机,('A2N/90式舰上战斗机' 12),https://baike.baidu.com/item/A2N/90%E5%BC%8F%E8%88%B0%E4%B8%8A%E6%88%98%E6%96%97%E6%9C%BA
信天翁D．Ⅲ,<em>信天翁</em>,('信天翁' 3),/item/%E2%80%9C%E4%BF%A1%E5%A4%A9%E7%BF%81%E2%80%9DD.%E2%85%A2%E6%88%98%E6%96%97%E6%9C%BA
J7W1震电战斗机,J7W1震电战斗机,('J7W1震电战斗机' 9),https://baike.baidu.com/item/J7W1%E9%9C%87%E7%94%B5%E6%88%98%E6%96%97%E6%9C%BA
J8M1秋水局地战斗机 ,j8m1秋水,('1秋水' 3),/item/j8m1%E7%A7%8B%E6%B0%B4
J1N1/2式夜间战斗机,j1n1/2式,('1/2式' 4),/item/j1n1%2F2%E5%BC%8F
He 219夜枭战斗机,<em>HE219战斗机</em>,('219' 3),https://baike.baidu.com/item/%E5%BE%B7%E5%9B%BDHE219%E6%88%98%E6%96%97%E6%9C%BA/12590136
Me 263战斗机,Me,('Me' 2),https://baike.baidu.com/item/Me-263%E7%81%AB%E7%AE%AD%E5%8A%A8%E5%8A%9B%E6%88%98%E6%96%97%E6%9C%BA/5781242
He 51战斗机,He,('He' 2),https://baike.baidu.com/item/He-51%E6%88%98%E6%96%97%E6%9C%BA/10169711
Bf 108台风式飞机,Bf 108台风式飞机,('Bf 108台风式飞机' 11),https://baike.baidu.com/item/Bf%20108%E5%8F%B0%E9%A3%8E%E5%BC%8F%E9%A3%9E%E6%9C%BA
92式战斗机,<em>92式战斗机</em>,('92式战斗机' 6),/item/%E5%B7%9D%E5%B4%8E92%E5%BC%8F%E6%88%98%E6%96%97%E6%9C%BA
J.I攻击机,J.I攻击机,('J.I攻击机' 6),https://baike.baidu.com/item/J.I%E6%94%BB%E5%87%BB%E6%9C%BA
Ki-201火龙战斗机,ki-201火龙,('i-201火龙' 7),/item/ki-201%E7%81%AB%E9%BE%99
Ki-43隼/1式,Ki-43隼式,('Ki-43隼' 6),/item/Ki-43%E9%9A%BC%E5%BC%8F%E6%88%98%E6%96%97%E6%9C%BA
Ki-49吞龙轰炸机,ki-49吞龙,('i-49吞龙' 6),/item/ki-49%E5%90%9E%E9%BE%99
Ho 229战斗机,Ho 229战斗机,('Ho 229战斗机' 9),https://baike.baidu.com/item/Ho%20229%E6%88%98%E6%96%97%E6%9C%BA
1MF/10式舰上战斗机,1MF10,('1MF' 3),/item/1MF10%20%E4%B8%83%E8%AF%95%E8%88%B0%E4%B8%8A%E6%88%98%E6%96%97%E6%9C%BA
He100战斗机,<em>He</em>,('He' 2),https://baike.baidu.com/item/%E4%BA%A8%E5%85%8B%E5%B0%94He-100%E6%88%98%E6%96%97%E6%9C%BA/1836423
Me-262战斗机,Me-262战斗机,('Me-262战斗机' 9),https://baike.baidu.com/item/Me-262%E6%88%98%E6%96%97%E6%9C%BA
A7M烈风战斗机,a7m烈风,('烈风' 2),/item/a7m%E7%83%88%E9%A3%8E
Ta 152战斗机,TA,('T' 1),https://baike.baidu.com/item/TA-152%E6%88%98%E6%96%97%E6%9C%BA/2892324
Me P.1101战斗机,Me P.1101战斗机,('Me P.1101战斗机' 12),https://baike.baidu.com/item/Me%20P.1101%E6%88%98%E6%96%97%E6%9C%BA
Me 210战斗机,ME,('M' 1),https://baike.baidu.com/item/ME-210%E6%88%98%E6%96%97%E6%9C%BA/4419711
Me 209战斗机,Me209战斗机,('209战斗机' 6),https://baike.baidu.com/item/Me209%E6%88%98%E6%96%97%E6%9C%BA/5633021
F-2战斗机,F-2战斗机,('F-2战斗机' 6),https://baike.baidu.com/item/F-2%E6%88%98%E6%96%97%E6%9C%BA
斯帕德S．Ⅶ,斯帕德,('斯帕德' 3),https://baike.baidu.com/item/%E6%96%AF%E5%B8%95%E5%BE%B7VII%E6%88%98%E6%96%97%E6%9C%BA/10465508
J5N天雷双发重型战斗机,j5n天雷,('天雷' 2),/item/j5n%E5%A4%A9%E9%9B%B7
J4M·极电（闪电）局地战斗机,<em>J4M·极电（闪电）局地战斗机</em>,('J4M·极电（闪电）局地战斗机' 15),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=J4M%C2%B7%E6%9E%81%E7%94%B5%EF%BC%88%E9%97%AA%E7%94%B5%EF%BC%89%E5%B1%80%E5%9C%B0%E6%88%98%E6%96%97%E6%9C%BA
ATD-X心神试验机,<em>ATD-X试验机</em>,('ATD-X' 5),https://baike.baidu.com/item/F-3%E6%88%98%E6%96%97%E6%9C%BA/7294084
S1A电光Denko夜间战斗机,s1a电光,('电光' 2),/item/s1a%E7%94%B5%E5%85%89
He 112战斗机,He,('He' 2),https://baike.baidu.com/item/He-112%E6%88%98%E6%96%97%E6%9C%BA/10168666
Ta 183战斗机,<em>Ta</em>,('Ta' 2),https://baike.baidu.com/item/%E5%BE%B7%E5%9B%BDTa-183%E6%88%98%E6%96%97%E6%9C%BA/3971359
NE-12B橘花攻击机,橘花,('橘花' 2),/item/%E6%A9%98%E8%8A%B1%E7%89%B9%E6%AE%8A%E6%94%BB%E5%87%BB%E6%9C%BA
A6M零式战机,A6M零式战斗机,('A6M零式战' 6),/item/A6M%E9%9B%B6%E5%BC%8F%E6%88%98%E6%96%97%E6%9C%BA
F-15J战斗机,F-15J战斗机,('F-15J战斗机' 8),https://baike.baidu.com/item/F-15J%E6%88%98%E6%96%97%E6%9C%BA
N1K4-J紫电改三二型试作机,<em>N1K4-J紫电改三二型试作机</em>,('N1K4-J紫电改三二型试作机' 15),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=N1K4-J%E7%B4%AB%E7%94%B5%E6%94%B9%E4%B8%89%E4%BA%8C%E5%9E%8B%E8%AF%95%E4%BD%9C%E6%9C%BA
A1N三式舰上战斗机,A1N三式舰上战斗机,('A1N三式舰上战斗机' 10),https://baike.baidu.com/item/A1N%E4%B8%89%E5%BC%8F%E8%88%B0%E4%B8%8A%E6%88%98%E6%96%97%E6%9C%BA
脉冲喷射发动机推进式自杀攻击机,<em>脉冲喷射发动机推进式自杀攻击机</em>,('脉冲喷射发动机推进式自杀攻击机' 15),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=%E8%84%89%E5%86%B2%E5%96%B7%E5%B0%84%E5%8F%91%E5%8A%A8%E6%9C%BA%E6%8E%A8%E8%BF%9B%E5%BC%8F%E8%87%AA%E6%9D%80%E6%94%BB%E5%87%BB%E6%9C%BA
